Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,NO2
04/25/2024,38,Ozone,Paradise-Clark,06-007-2003,AQS,2,38,10,34,5
04/26/2024,35,Ozone,Chico-East Avenue,06-007-0008,AQS,2,35,2,10,4
04/27/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,2,38,3,7,4
04/28/2024,51,Ozone,Chico-East Avenue,06-007-0008,AQS,2,51,3,14,3
04/29/2024,48,Ozone,Chico-East Avenue,06-007-0008,AQS,5,48,17,17,5
04/30/2024,47,Ozone,Chico-East Avenue,06-007-0008,AQS,2,47,19,16,7
05/01/2024,44,Ozone,Paradise-Clark,06-007-2003,AQS,1,44,24,18,2
05/02/2024,33,Ozone,Chico-East Avenue,06-007-0008,AQS,1,33,15,9,3
05/03/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,19,34,4
05/04/2024,43,Ozone,Chico-East Avenue,06-007-0008,AQS,2,43,5,15,2
05/05/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,1,17,4
05/06/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,4,26,6
05/07/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,6,9,2
05/08/2024,48,Ozone,Chico-East Avenue,06-007-0008,AQS,1,48,6,11,3
05/09/2024,37,Ozone,Chico-East Avenue,06-007-0008,AQS,2,37,10,4,6
05/10/2024,48,Ozone,Chico-East Avenue,06-007-0008,AQS,2,48,13,34,6
05/11/2024,50,Ozone,Chico-East Avenue,06-007-0008,AQS,2,50,6,28,8
05/12/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,12,35,5
05/13/2024,67,Ozone,Chico-East Avenue,06-007-0008,AQS,2,67,17,34,7
05/14/2024,67,Ozone,Chico-East Avenue,06-007-0008,AQS,2,67,19,43,9
05/15/2024,58,Ozone,Chico-East Avenue,06-007-0008,AQS,2,58,21,36,11
05/16/2024,45,Ozone,Paradise-Clark,06-007-2003,AQS,2,45,,36,
05/17/2024,47,Ozone,Paradise-Clark,06-007-2003,AQS,,47,,42,
05/18/2024,47,Ozone,Paradise-Clark,06-007-2003,AQS,,47,,41,
05/19/2024,46,Ozone,Paradise-Clark,06-007-2003,AQS,,46,,38,
05/20/2024,47,Ozone,Chico-East Avenue,06-007-0008,AQS,1,47,,27,
05/21/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,26,26,8
05/22/2024,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,16,19,6
05/23/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,25,14,8
05/24/2024,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,24,42,6
05/25/2024,32,Ozone,Chico-East Avenue,06-007-0008,AQS,2,32,9,29,4
05/26/2024,41,Ozone,Chico-East Avenue,06-007-0008,AQS,1,41,9,31,4
05/27/2024,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,11,39,4
05/28/2024,47,Ozone,Chico-East Avenue,06-007-0008,AQS,2,47,17,41,4
05/29/2024,47,Ozone,Chico-East Avenue,06-007-0008,AQS,1,47,32,21,2
05/30/2024,44,Ozone,Paradise-Clark,06-007-2003,AQS,2,44,25,26,7
05/31/2024,45,Ozone,Chico-East Avenue,06-007-0008,AQS,2,45,19,31,8
06/01/2024,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,46,17,52,
06/02/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,9,24,
06/03/2024,23,Ozone,Chico-East Avenue,06-007-0008,AQS,1,23,10,19,
06/04/2024,31,Ozone,Chico-East Avenue,06-007-0008,AQS,1,31,18,18,
06/05/2024,33,Ozone,Chico-East Avenue,06-007-0008,AQS,1,33,14,18,7
06/06/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,19,33,8
06/07/2024,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,48,26,63,5
06/08/2024,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,44,23,58,2
06/09/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,43,17,57,2
06/10/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,48,20,57,6
06/11/2024,58,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,54,21,58,13
06/12/2024,67,Ozone,Chico-East Avenue,06-007-0008,AQS,2,67,26,55,8
06/13/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,54,27,57,4
06/14/2024,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,58,32,63,5
06/15/2024,45,Ozone,Chico-East Avenue,06-007-0008,AQS,2,45,16,28,5
06/16/2024,38,Ozone,Chico-East Avenue,06-007-0008,AQS,1,38,6,9,1
06/17/2024,57,PM10,Chico-East Avenue,06-007-0008,AQS,1,37,57,32,5
06/18/2024,43,Ozone,Chico-East Avenue,06-007-0008,AQS,3,43,23,33,13
06/19/2024,48,Ozone,Chico-East Avenue,06-007-0008,AQS,2,48,16,44,8
06/20/2024,58,Ozone,Chico-East Avenue,06-007-0008,AQS,2,58,31,49,10
06/21/2024,74,Ozone,Chico-East Avenue,06-007-0008,AQS,3,74,34,56,12
06/22/2024,93,Ozone,Chico-East Avenue,06-007-0008,AQS,2,93,22,51,4
06/23/2024,90,Ozone,Chico-East Avenue,06-007-0008,AQS,2,90,19,37,3
06/24/2024,90,Ozone,Chico-East Avenue,06-007-0008,AQS,2,90,26,22,20
06/25/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,38,41,19
06/26/2024,67,Ozone,Chico-East Avenue,06-007-0008,AQS,2,67,38,30,10
06/27/2024,50,Ozone,Chico-East Avenue,06-007-0008,AQS,2,50,19,20,9
06/28/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,33,26,12
06/29/2024,54,Ozone,Chico-East Avenue,06-007-0008,AQS,2,54,18,32,5
06/30/2024,39,Ozone,Chico-East Avenue,06-007-0008,AQS,2,39,7,15,6
07/01/2024,48,PM10,Chico-East Avenue,06-007-0008,AQS,2,48,48,18,22
07/02/2024,58,Ozone,Paradise-Clark,06-007-2003,AQS,1,58,35,24,7
07/03/2024,54,Ozone,Chico-East Avenue,06-007-0008,AQS,2,54,31,28,13
07/04/2024,71,Ozone,Chico-East Avenue,06-007-0008,AQS,2,71,16,51,5
07/05/2024,78,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,3,50,20,78,6
07/06/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,23,51,8
07/07/2024,77,Ozone,Chico-East Avenue,06-007-0008,AQS,2,77,17,53,8
07/08/2024,71,Ozone,Chico-East Avenue,06-007-0008,AQS,2,71,29,57,8
07/09/2024,64,Ozone,Chico-East Avenue,06-007-0008,AQS,2,64,26,49,7
07/10/2024,87,Ozone,Chico-East Avenue,06-007-0008,AQS,2,87,30,52,9
07/11/2024,74,Ozone,Chico-East Avenue,06-007-0008,AQS,2,74,31,55,12
07/12/2024,74,Ozone,Paradise-Clark,06-007-2003,AQS,3,74,31,51,20
07/13/2024,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,54,26,54,6
07/14/2024,48,Ozone,Paradise-Clark,06-007-2003,AQS,2,48,13,44,6
07/15/2024,64,Ozone,Chico-East Avenue,06-007-0008,AQS,2,64,37,53,7
07/16/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,2,61,34,40,7
07/17/2024,58,Ozone,Paradise-Clark,06-007-2003,AQS,2,58,17,32,20
07/18/2024,64,Ozone,Chico-East Avenue,06-007-0008,AQS,2,64,20,38,
07/19/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,45,35,52,12
07/20/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,48,18,57,8
07/21/2024,54,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,48,19,54,4
07/22/2024,64,Ozone,Chico-East Avenue,06-007-0008,AQS,2,64,33,63,18
07/23/2024,77,Ozone,Chico-East Avenue,06-007-0008,AQS,2,77,36,59,13
07/24/2024,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,44,43,9
07/25/2024,49,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,49,31,49,4
07/26/2024,44,Ozone,Chico-East Avenue,06-007-0008,AQS,2,44,35,31,8
07/27/2024,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,38,27,56,5
07/28/2024,79,PM2.5,Paradise-Clark,06-007-2003,AQS,3,50,21,79,4
07/29/2024,62,PM2.5,Paradise-Clark,06-007-2003,AQS,3,49,38,62,7
07/30/2024,68,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,46,35,68,7
07/31/2024,213,PM2.5,Paradise-Clark,06-007-2003,AQS,8,45,39,213,7
08/01/2024,88,PM2.5,Chico-East Avenue,06-007-0008,AQS,14,58,45,88,8
08/02/2024,172,PM2.5,Chico-East Avenue,06-007-0008,AQS,22,100,79,172,10
08/03/2024,78,PM2.5,Chico-East Avenue,06-007-0008,AQS,6,64,39,78,8
08/04/2024,62,PM2.5,Chico-East Avenue,06-007-0008,AQS,8,51,21,62,8
08/05/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,49,30,53,7
08/06/2024,61,Ozone,Chico-East Avenue,06-007-0008,AQS,3,61,34,58,9
08/07/2024,63,PM2.5,Chico-East Avenue,06-007-0008,AQS,9,51,42,63,11
08/08/2024,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,50,51,55,13
08/09/2024,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,49,35,55,10
08/10/2024,51,PM2.5,Chico-East Avenue,06-007-0008,AQS,2,48,20,51,5
08/11/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,43,22,52,6
08/12/2024,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,39,34,53,6
08/13/2024,50,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,43,33,50,
08/14/2024,41,PM2.5,Chico-East Avenue,06-007-0008,AQS,3,40,37,41,
08/15/2024,36,Ozone,Chico-East Avenue,06-007-0008,AQS,5,36,27,21,9
08/16/2024,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,30,33,6
08/17/2024,42,PM10,Chico-East Avenue,06-007-0008,AQS,1,35,42,17,3
08/18/2024,40,Ozone,Chico-East Avenue,06-007-0008,AQS,2,40,6,13,8
08/19/2024,46,Ozone,Chico-East Avenue,06-007-0008,AQS,2,46,26,34,10
08/20/2024,47,Ozone,Chico-East Avenue,06-007-0008,AQS,2,47,31,46,11
08/21/2024,49,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,2,44,31,49,8
08/22/2024,58,PM10,Chico-East Avenue,06-007-0008,AQS,2,39,58,57,5
08/23/2024,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AQS,1,34,31,53,5
08/24/2024,42,Ozone,Chico-East Avenue,06-007-0008,AQS,2,42,6,29,9
08/25/2024,48,Ozone,Paradise-Clark,06-007-2003,AQS,2,48,7,29,14
08/26/2024,71,Ozone,Paradise-Clark,06-007-2003,AQS,3,71,25,43,17
08/27/2024,71,Ozone,Paradise-Clark,06-007-2003,AQS,3,71,23,52,12
08/28/2024,80,Ozone,Paradise-Clark,06-007-2003,AQS,3,80,26,43,20
08/29/2024,87,Ozone,Paradise-Clark,06-007-2003,AQS,3,87,31,49,10
08/30/2024,77,Ozone,Paradise-Clark,06-007-2003,AQS,2,77,40,53,10
08/31/2024,80,Ozone,Paradise-Clark,06-007-2003,AQS,2,80,29,47,7
09/01/2024,74,Ozone,Paradise-Clark,06-007-2003,AirNow,2,74,23,43,
09/02/2024,48,Ozone,Paradise-Clark,06-007-2003,AirNow,,48,17,31,
09/03/2024,45,Ozone,Paradise-Clark,06-007-2003,AirNow,,45,27,28,
09/04/2024,49,Ozone,Paradise-Clark,06-007-2003,AirNow,,49,31,37,
09/05/2024,64,Ozone,Paradise-Clark,06-007-2003,AirNow,,64,38,46,
09/06/2024,50,Ozone,Paradise-Clark,06-007-2003,AirNow,,50,31,41,
09/07/2024,46,Ozone,Chico-East Avenue,06-007-0008,AirNow,,46,20,18,
09/08/2024,43,Ozone,Paradise-Clark,06-007-2003,AirNow,,43,13,17,
09/09/2024,43,Ozone,Chico-East Avenue,06-007-0008,AirNow,,43,26,24,
09/10/2024,49,Ozone,Paradise-Clark,06-007-2003,AirNow,,49,38,30,
09/11/2024,33,Ozone,Paradise-Clark,06-007-2003,AirNow,,33,24,32,
09/12/2024,33,Ozone,Chico-East Avenue,06-007-0008,AirNow,,33,19,31,
09/13/2024,45,Ozone,Paradise-Clark,06-007-2003,AirNow,,45,44,34,
09/14/2024,49,Ozone,Paradise-Clark,06-007-2003,AirNow,,49,24,41,
09/15/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AQS,,39,27,53,
09/16/2024,47,PM2.5,Paradise-Clark,06-007-2003,AirNow,,37,23,47,
09/17/2024,52,PM2.5,Paradise-Clark,06-007-2003,AirNow,,41,31,52,
09/18/2024,53,PM2.5,Paradise-Clark,06-007-2003,AirNow,,40,31,53,
09/19/2024,47,Ozone,Paradise-Clark,06-007-2003,AirNow,,47,25,44,
09/20/2024,46,Ozone,Paradise-Clark,06-007-2003,AirNow,,46,31,41,
09/21/2024,47,Ozone,Paradise-Clark,06-007-2003,AirNow,,47,27,41,
09/22/2024,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,47,22,52,
09/23/2024,43,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,42,25,43,
09/24/2024,47,PM10,Chico-East Avenue,06-007-0008,AirNow,,44,47,46,
09/25/2024,64,Ozone,Paradise-Clark,06-007-2003,AirNow,,64,44,52,
09/26/2024,49,Ozone,Paradise-Clark,06-007-2003,AirNow,,49,31,39,
09/27/2024,51,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,49,45,51,
09/28/2024,50,Ozone,Paradise-Clark,06-007-2003,AirNow,,50,28,47,
09/29/2024,45,Ozone,Paradise-Clark,06-007-2003,AirNow,,45,22,42,
09/30/2024,43,PM10,Chico-East Avenue,06-007-0008,AirNow,,40,43,39,
10/01/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,50,48,52,
10/02/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,48,50,52,
10/03/2024,56,PM2.5,Chico-East Avenue,06-007-0008,AQS,,44,51,56,
10/04/2024,58,Ozone,Paradise-Clark,06-007-2003,AirNow,,58,46,53,
10/05/2024,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,44,27,52,
10/06/2024,41,Ozone,Paradise-Clark,06-007-2003,AirNow,,41,18,21,
10/07/2024,48,PM10,Chico-East Avenue,06-007-0008,AirNow,,40,48,29,
10/08/2024,39,Ozone,Paradise-Clark,06-007-2003,AirNow,,39,27,37,
10/09/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AQS,,41,45,52,
10/10/2024,47,Ozone,Chico-East Avenue,06-007-0008,AirNow,,47,44,46,
10/11/2024,47,Ozone,Chico-East Avenue,06-007-0008,AirNow,,47,44,43,
10/12/2024,41,Ozone,Paradise-Clark,06-007-2003,AirNow,,41,11,22,
10/13/2024,61,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,32,19,61,
10/14/2024,53,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,38,21,53,
10/15/2024,55,PM2.5,Chico-East Avenue,06-007-0008,AQS,,44,30,55,
10/16/2024,33,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,32,16,33,
10/17/2024,36,Ozone,Chico-East Avenue,06-007-0008,AirNow,,36,19,17,
10/18/2024,40,Ozone,Paradise-Clark,06-007-2003,AirNow,,40,19,36,
10/19/2024,43,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,43,28,43,
10/20/2024,47,Ozone,Paradise-Clark,06-007-2003,AirNow,,47,37,40,
10/21/2024,61,Ozone,Paradise-Clark,06-007-2003,AirNow,,61,45,56,
10/22/2024,54,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,44,47,54,
10/23/2024,54,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,48,42,54,
10/24/2024,42,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,41,23,42,
10/25/2024,48,Ozone,Paradise-Clark,06-007-2003,AirNow,,48,35,39,
10/26/2024,49,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,47,32,49,
10/27/2024,37,Ozone,Paradise-Clark,06-007-2003,AirNow,,37,15,18,
10/28/2024,37,Ozone,Paradise-Clark,06-007-2003,AirNow,,37,12,17,
10/29/2024,32,Ozone,Paradise-Clark,06-007-2003,AirNow,,32,13,22,
10/30/2024,45,PM10,Chico-East Avenue,06-007-0008,AirNow,,39,45,31,
10/31/2024,37,Ozone,Chico-East Avenue,06-007-0008,AirNow,,37,8,27,
11/01/2024,42,Ozone,Paradise-Clark,06-007-2003,AirNow,,42,14,34,
11/02/2024,52,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,36,10,52,
11/03/2024,32,Ozone,Paradise-Clark,06-007-2003,AirNow,,32,5,31,
11/04/2024,36,Ozone,Paradise-Clark,06-007-2003,AirNow,,36,6,17,
11/05/2024,39,Ozone,Paradise-Clark,06-007-2003,AirNow,,39,6,15,
11/06/2024,39,Ozone,Paradise-Clark,06-007-2003,AirNow,,39,9,17,
11/07/2024,44,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,36,20,44,
11/08/2024,62,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,41,30,62,
11/09/2024,75,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,43,33,75,
11/10/2024,71,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,47,29,71,
11/11/2024,39,Ozone,Paradise-Clark,06-007-2003,AirNow,,39,11,33,
11/12/2024,40,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,11,40,
11/13/2024,39,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,34,10,39,
11/14/2024,34,Ozone,Paradise-Clark,06-007-2003,AirNow,,34,10,27,
11/15/2024,37,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,7,37,
11/16/2024,57,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,12,57,
11/17/2024,56,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,32,11,56,
11/18/2024,60,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,37,15,60,
11/19/2024,66,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,35,19,66,
11/20/2024,43,Ozone,Paradise-Clark,06-007-2003,AirNow,,43,6,22,
11/21/2024,41,Ozone,Chico-East Avenue,06-007-0008,AirNow,,41,1,17,
11/22/2024,35,Ozone,Paradise-Clark,06-007-2003,AirNow,,35,4,17,
11/23/2024,35,Ozone,Chico-East Avenue,06-007-0008,AirNow,,35,2,19,
11/24/2024,37,Ozone,Chico-East Avenue,06-007-0008,AirNow,,37,5,23,
11/25/2024,33,Ozone,Chico-East Avenue,06-007-0008,AirNow,,33,6,15,
11/26/2024,31,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,6,31,
11/27/2024,50,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,29,10,50,
11/28/2024,84,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,32,24,84,
11/29/2024,79,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,24,79,
11/30/2024,72,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,34,20,72,
12/01/2024,86,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,34,26,86,
12/02/2024,82,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,30,30,82,
12/03/2024,80,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,32,80,
12/04/2024,85,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,33,85,
12/05/2024,80,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,29,31,80,
12/06/2024,79,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,.,31,79,
12/07/2024,87,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,27,29,87,
12/08/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,33,10,53,
12/09/2024,53,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,32,16,53,
12/10/2024,80,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,27,35,80,
12/11/2024,97,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,34,30,97,
12/12/2024,57,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,35,10,57,
12/13/2024,39,Ozone,Paradise-Clark,06-007-2003,AirNow,,39,4,19,
12/14/2024,40,Ozone,Paradise-Clark,06-007-2003,AirNow,,40,2,16,
12/15/2024,40,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,29,8,40,
12/16/2024,39,Ozone,Paradise-Clark,06-007-2003,AirNow,,39,5,18,
12/17/2024,31,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,31,6,31,
12/18/2024,61,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,16,61,
12/19/2024,58,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,24,14,58,
12/20/2024,31,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,22,5,31,
12/21/2024,46,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,31,5,46,
12/22/2024,31,Ozone,Paradise-Clark,06-007-2003,AirNow,,31,5,26,
12/23/2024,32,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,31,6,32,
12/24/2024,56,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,39,11,56,
12/25/2024,58,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,33,11,58,
12/26/2024,37,Ozone,Paradise-Clark,06-007-2003,AirNow,,37,3,18,
12/27/2024,36,Ozone,Paradise-Clark,06-007-2003,AirNow,,36,3,22,
12/28/2024,32,Ozone,Paradise-Clark,06-007-2003,AirNow,,32,3,30,
12/29/2024,37,Ozone,Chico-East Avenue,06-007-0008,AirNow,,37,2,17,
12/30/2024,33,Ozone,Paradise-Clark,06-007-2003,AirNow,,33,0,18,
12/31/2024,60,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,31,14,60,
01/01/2025,70,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,27,19,70,
01/02/2025,51,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,27,10,51,
01/03/2025,52,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,32,7,52,
01/04/2025,37,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,34,9,37,
01/05/2025,53,PM2.5,Chico-East Avenue,06-007-0008,AirNow,,28,11,53,
01/06/2025,41,Ozone,Paradise-Clark,06-007-2003,AirNow,,41,6,33,
01/07/2025,40,Ozone,Paradise-Clark,06-007-2003,AirNow,,40,9,32,
01/08/2025,40,Ozone,Paradise-Clark,06-007-2003,AirNow,,40,,15,
01/09/2025,41,Ozone,Paradise-Clark,06-007-2003,AirNow,,41,,27,
01/10/2025,63,PM2.5,"TRAFFIC, RURAL PAVED ROAD",06-007-4001,AirNow,,38,,63,
01/11/2025,40,Ozone,Paradise-Clark,06-007-2003,AirNow,,40,6,9,
01/12/2025,39,Ozone,Paradise-Clark,06-007-2003,AirNow,,39,12,8,
